source_id,news_text,timestamp
src032,"A company is developing flying cars that could be available to the public within the next decade.",2024-05-18T10:00:00Z
src033,"A major political scandal is unfolding, with allegations of corruption and bribery at the highest levels of government.",2024-05-18T11:00:00Z
src034,"A lost dog was reunited with its owner after being missing for three years, thanks to a microchip.",2024-05-18T12:00:00Z
src035,"The Bermuda Triangle has claimed another victim, as a small plane vanishes without a trace.",2024-05-18T13:00:00Z
src036,"A new type of coffee bean has been discovered that has no caffeine but provides a natural energy boost.",2024-05-18T14:00:00Z
src037,"A museum is exhibiting a collection of art created entirely by robots.",2024-05-18T15:00:00Z
src038,"A scientific paper claims that parallel universes are real and that we can travel between them.",2024-05-18T16:00:00Z
src039,"A new fitness trend involves exercising in zero-gravity chambers for maximum results.",2024-05-18T17:00:00Z
src040,"The international space station will be open for public tours starting next year.",2024-05-18T18:00:00Z
src041,"A new smartphone app can translate animal sounds into human language.",2024-05-19T09:00:00Z
src042,"A city has replaced all its streetlights with energy-efficient LEDs, saving millions in electricity costs.",2024-05-19T10:00:00Z
src043,"A man has legally changed his name to 'Hashtag' to show his love for social media.",2024-05-19T11:00:00Z
src044,"A group of activists is protesting the construction of a new oil pipeline through a protected nature reserve.",2024-05-19T12:00:00Z
src045,"A psychic predicts a major earthquake will hit California next month, causing widespread panic.",2024-05-19T13:00:00Z
src046,"A new documentary exposes the dark side of the fashion industry, from sweatshops to environmental damage.",2024-05-19T14:00:00Z
src047,"A restaurant is offering a 24-course tasting menu that takes over eight hours to complete.",2024-05-19T15:00:00Z
src048,"A new virtual reality game allows players to experience life on Mars.",2024-05-19T16:00:00Z
src049,"A secret society of lizard people is said to control the world's governments from the shadows.",2024-05-19T17:00:00Z
src050,"A company has developed a way to 3D-print edible food, from burgers to pasta.",2024-05-19T18:00:00Z
src051,"A new study reveals that the average person spends two years of their life waiting in line.",2024-05-20T09:00:00Z
src052,"A town in Alaska has elected a cat as its mayor for the third consecutive term.",2024-05-20T10:00:00Z
src053,"Scientists are on the verge of creating a real-life Jurassic Park, but ethical concerns abound.",2024-05-20T11:00:00Z
src054,"A new initiative aims to plant one trillion trees by 2030 to combat climate change.",2024-05-20T12:00:00Z
src055,"A message in a bottle, thrown into the ocean 50 years ago, has finally been found on a remote island.",2024-05-20T13:00:00Z
src056,"A new 'smart' fabric can change color and pattern based on your mood.",2024-05-20T14:00:00Z
src057,"A hacker group has threatened to release sensitive government documents unless their demands are met.",2024-05-20T15:00:00Z
src058,"Chemtrails are real, and they are being used for mind control, according to a new online documentary.",2024-05-20T16:00:00Z
src059,"A new underwater hotel offers guests a chance to sleep with the fishes, literally.",2024-05-20T17:00:00Z
src060,"A team of archaeologists has found the lost city of Atlantis, but its location is being kept secret.",2024-05-20T18:00:00Z
src061,"A new law requires all new buildings to have green roofs to improve air quality.",2024-05-21T09:00:00Z
src062,"A company is selling bottled air from the pristine mountains of Switzerland.",2024-05-21T10:00:00Z
src063,"A new social media platform is gaining popularity for its focus on privacy and data protection.",2024-05-21T11:00:00Z
src064,"A celebrity has been accused of photoshopping their vacation pictures to an unrealistic degree.",2024-05-21T12:00:00Z
src065,"A haunted doll is being sold on an online auction site, with the seller warning of its paranormal activity.",2024-05-21T13:00:00Z
src066,"A new type of renewable energy is being developed from the kinetic energy of ocean waves.",2024-05-21T14:00:00Z
src067,"A new book claims that Shakespeare's plays were actually written by a woman.",2024-05-21T15:00:00Z
src068,"A new diet trend involves eating only foods that are blue in color.",2024-05-21T16:00:00Z
src069,"A company is offering commercial flights to the moon for a hefty price tag.",2024-05-21T17:00:00Z
src070,"The government is secretly building a network of underground tunnels for the elite to survive an apocalypse.",2024-05-21T18:00:00Z
src071,"A new study shows that playing video games can improve cognitive skills and reaction time.",2024-05-22T09:00:00Z
src072,"A new species of giant spider has been discovered in Australia, and it's venomous.",2024-05-22T10:00:00Z
src073,"A new app can predict your future with surprising accuracy, based on your personal data.",2024-05-22T11:00:00Z
src074,"A charity organization has raised millions to provide clean drinking water to communities in need.",2024-05-22T12:00:00Z
src075,"The Loch Ness Monster has been spotted again, with new photographic evidence emerging.",2024-05-22T13:00:00Z
src076,"A new law will make it mandatory for all citizens to vote in national elections.",2024-05-22T14:00:00Z
src077,"A new movie is being criticized for its historical inaccuracies and romanticized portrayal of war.",2024-05-22T15:00:00Z
src078,"A new technology can charge your phone wirelessly from across the room.",2024-05-22T16:00:00Z
src079,"The Illuminati is a real organization, and they are planning to establish a New World Order.",2024-05-22T17:00:00Z
src080,"A new theme park is opening with the world's tallest and fastest roller coaster.",2024-05-22T18:00:00Z
src081,"A study has found a link between eating spicy food and having a more adventurous personality.",2024-05-23T09:00:00Z
src082,"A new artificial island is being built to house a luxury resort and casino.",2024-05-23T10:00:00Z
src083,"A new report details the alarming rate of deforestation in the Amazon rainforest.",2024-05-23T11:00:00Z
src084,"A man has built a fully functional Iron Man suit in his garage.",2024-05-23T12:00:00Z
src085,"Bigfoot sightings are on the rise, with multiple witnesses coming forward with their stories.",2024-05-23T13:00:00Z
src086,"A new educational program is teaching kids how to code from a young age.",2024-05-23T14:00:00Z
src087,"A new trend has people microdosing psychedelic mushrooms for increased creativity and focus.",2024-05-23T15:00:00Z
src088,"A new app allows you to rent a friend for a day to hang out with.",2024-05-23T16:00:00Z
src089,"A new conspiracy theory suggests that birds aren't real and are actually government surveillance drones.",2024-05-23T17:00:00Z
src090,"A new museum dedicated to the history of memes has opened in New York City.",2024-05-23T18:00:00Z
src091,"A new study claims that listening to classical music can make you smarter.",2024-05-24T09:00:00Z
src092,"A new breakthrough in quantum computing could solve problems that are currently impossible for classical computers.",2024-05-24T10:00:00Z
src093,"A new bill proposes a four-day work week for all employees without a reduction in pay.",2024-05-24T11:00:00Z
src094,"A new species of bioluminescent fungi has been discovered that glows in the dark.",2024--05-24T12:00:00Z
src095,"The government has been hiding evidence of alien life for decades, according to a former Area 51 employee.",2024-05-24T13:00:00Z
src096,"A new app uses AI to create a personalized workout and meal plan for you every day.",2024-05-24T14:00:00Z
src097,"A new study suggests that time travel to the past is theoretically possible, but it would create paradoxes.",2024-05-24T15:00:00Z
src098,"A new company is offering to store your consciousness digitally so you can live forever as an AI.",2024-05-24T16:00:00Z
src099,"A new report reveals the shocking amount of plastic waste that ends up in our oceans every year.",2024-05-24T17:00:00Z
src100,"A new cult is gaining followers by promising eternal youth and happiness through a secret ritual.",2024-05-24T18:00:00Z
